alpha,rho,ap50
1,0.1,0.013709354139193079
2,0.1,0.16085752993404645
3,0.1,0.606324556628607
4,0.1,0.37498841733436344
5,0.1,0.1869748398981636
6,0.1,0.08883143608380412
7,0.1,0.04543076602191967
8,0.1,0.022676762701078285
9,0.1,0.016174837355625922
10,0.1,0.006583602546421953
1,0.1,0.012582833717283609
2,0.1,0.14162229628581208
3,0.1,0.6244460223815363
4,0.1,0.4226960015824517
5,0.1,0.2061586818075897
6,0.1,0.10665478564313487
7,0.1,0.05426787033904869
8,0.1,0.027520754109634064
9,0.1,0.018899460404986024
10,0.1,0.009218564024676495
