alpha,min_area,open_size,close_size,ap50
2.0,1500,1,5,0.0970685572991517
2.0,1500,1,7,0.080533647324827
2.0,1500,1,9,0.06501313725003165
2.0,1500,3,5,0.24190283510245222
2.0,1500,3,7,0.2533702308534421
2.0,1500,3,9,0.2625626185367966
2.0,1500,5,5,0.16712729206446494
2.0,1500,5,7,0.18641757875448284
2.0,1500,5,9,0.21138935275819415
2.0,2000,1,5,0.10860721675671749
2.0,2000,1,7,0.0901973851045657
2.0,2000,1,9,0.07269520979784537
2.0,2000,3,5,0.2583117620947194
2.0,2000,3,7,0.2684709143815325
2.0,2000,3,9,0.2735597568515797
2.0,2000,5,5,0.17618176214401202
2.0,2000,5,7,0.1943722752553641
2.0,2000,5,9,0.22084207370665937
2.0,2500,1,5,0.10887623376406846
2.0,2500,1,7,0.08896160307449655
2.0,2500,1,9,0.07350551963520592
2.0,2500,3,5,0.26021947671296813
2.0,2500,3,7,0.27101420890946243
2.0,2500,3,9,0.26981611985642984
2.0,2500,5,5,0.17944939373796043
2.0,2500,5,7,0.19566175155813742
2.0,2500,5,9,0.21900441981249832
3.0,1500,1,5,0.2969910655898112
3.0,1500,1,7,0.29530751241285175
3.0,1500,1,9,0.27221531414167605
3.0,1500,3,5,0.38824746048142644
3.0,1500,3,7,0.41564735862205254
3.0,1500,3,9,0.4368994829630717
3.0,1500,5,5,0.1823655955621191
3.0,1500,5,7,0.21075538023085363
3.0,1500,5,9,0.24721577000349917
3.0,2000,1,5,0.3003236277325544
3.0,2000,1,7,0.2987770773934544
3.0,2000,1,9,0.28187833312467175
3.0,2000,3,5,0.3647564683341787
3.0,2000,3,7,0.39047195754737235
3.0,2000,3,9,0.4138440635380917
3.0,2000,5,5,0.1898030219724148
3.0,2000,5,7,0.21329744598888326
3.0,2000,5,9,0.2473983462593453
3.0,2500,1,5,0.284688929685834
3.0,2500,1,7,0.28221275823863357
3.0,2500,1,9,0.2699332874522806
3.0,2500,3,5,0.3375175464348731
3.0,2500,3,7,0.36111289492941034
3.0,2500,3,9,0.38684119933580885
3.0,2500,5,5,0.19234771557301497
3.0,2500,5,7,0.21613434282691357
3.0,2500,5,9,0.2483451327108114
4.0,1500,1,5,0.30662134392403884
4.0,1500,1,7,0.3170793198627526
4.0,1500,1,9,0.3048231676047153
4.0,1500,3,5,0.2772332541738097
4.0,1500,3,7,0.3109948908595014
4.0,1500,3,9,0.34407756337379836
4.0,1500,5,5,0.12279788036790006
4.0,1500,5,7,0.15049613069280202
4.0,1500,5,9,0.17979705987218386
4.0,2000,1,5,0.2972469943293283
4.0,2000,1,7,0.3068215300659957
4.0,2000,1,9,0.3007344164608537
4.0,2000,3,5,0.27674021143857763
4.0,2000,3,7,0.30319953102242714
4.0,2000,3,9,0.32580366784449316
4.0,2000,5,5,0.13191211149042836
4.0,2000,5,7,0.16033745513704642
4.0,2000,5,9,0.18979289526780893
4.0,2500,1,5,0.289133410462441
4.0,2500,1,7,0.28491403375138674
4.0,2500,1,9,0.2819140689939899
4.0,2500,3,5,0.2719397875851212
4.0,2500,3,7,0.3027627571194707
4.0,2500,3,9,0.32536078513777117
4.0,2500,5,5,0.14193117705825947
4.0,2500,5,7,0.16543239069878268
4.0,2500,5,9,0.19539899713498615
