alpha,min_area,open_size,close_size,AP50
2.0,1500,1,5,0.04633318346966928
2.0,1500,1,7,0.028618313364244877
2.0,1500,1,9,0.02224565863368196
2.0,1500,3,5,0.14220606332847022
2.0,1500,3,7,0.14222884555751675
2.0,1500,3,9,0.14144707329432757
2.0,1500,5,5,0.11102949258042552
2.0,1500,5,7,0.12479859555341537
2.0,1500,5,9,0.14206526255734173
2.0,1800,1,5,0.04898262391745354
2.0,1800,1,7,0.02944486008707208
2.0,1800,1,9,0.022791162926494257
2.0,1800,3,5,0.14264953113429912
2.0,1800,3,7,0.14670743105541983
2.0,1800,3,9,0.14304298545278948
2.0,1800,5,5,0.10807547419389522
2.0,1800,5,7,0.123845146078886
2.0,1800,5,9,0.1379959318570073
2.0,2000,1,5,0.04841520767830816
2.0,2000,1,7,0.02985750228001268
2.0,2000,1,9,0.023000761383438508
2.0,2000,3,5,0.14111247395066565
2.0,2000,3,7,0.14431440694216033
2.0,2000,3,9,0.14062704315258034
2.0,2000,5,5,0.10863456726905105
2.0,2000,5,7,0.121541542362583
2.0,2000,5,9,0.13528197354165747
2.0,2200,1,5,0.04829495550433995
2.0,2200,1,7,0.02989884264117687
2.0,2200,1,9,0.021993262782537375
2.0,2200,3,5,0.13747992073409251
2.0,2200,3,7,0.14039611944820365
2.0,2200,3,9,0.13720749980883165
2.0,2200,5,5,0.10887003016317144
2.0,2200,5,7,0.1211246668022017
2.0,2200,5,9,0.13553873295223945
2.0,2500,1,5,0.04623878622697954
2.0,2500,1,7,0.02983924121898095
2.0,2500,1,9,0.021835384174884676
2.0,2500,3,5,0.13572450886390403
2.0,2500,3,7,0.13448450451957492
2.0,2500,3,9,0.13038919823722947
2.0,2500,5,5,0.10780898114008478
2.0,2500,5,7,0.1203126887060618
2.0,2500,5,9,0.13447076405805863
2.5,1500,1,5,0.11996544064230898
2.5,1500,1,7,0.10063568444471306
2.5,1500,1,9,0.07552975252665733
2.5,1500,3,5,0.21707187863235242
2.5,1500,3,7,0.22039244631837682
2.5,1500,3,9,0.21054550911220404
